2026-01-14 17:05:47,894 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:05:50,286 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:08:52,560 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:08:54,857 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:10:32,368 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:10:34,268 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:28:20,901 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:28:21,004 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:47,474 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:31:47,571 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:56,253 - INFO - Phone migrated to 4
2026-01-14 17:31:56,374 - INFO - Reconnecting to new data center 4
2026-01-14 17:31:56,512 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-14 17:31:56,513 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:56,514 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-14 17:31:58,433 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-14 17:32:54,904 - INFO - Scraping channel: Lobelia_pharmacy_and_cosmetics
2026-01-14 17:34:53,305 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:53,660 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:54,011 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:54,161 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:54,319 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:54,659 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:55,037 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:55,428 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:55,636 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:56,008 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:56,201 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:56,354 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:56,697 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:56,854 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:57,018 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:57,205 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:57,594 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:57,966 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:58,326 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:58,710 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:59,053 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:59,405 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:59,772 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:35:00,168 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:35:00,639 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:35:00,988 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
